id,sku_id,title,slug,category,sub_category,brand_name,product_type,gender,colorways,brand_sku,model,lowest_price,description,is_d2c,is_active,is_certificate_required,featured_image,quantity_left,wishlist_num,stock_claimed_percent,discount_percentage,note,tags,release_date,created_at,updated_at,pdp_url
37574,HELEEN321FD7,Hellstar Thorn T-Shirt Green,hellstar-thorn-t-shirt-green,Apparel,T-Shirt,Hellstar,clothing,male,,,,0,,False,True,False,https://images.stockx.com/images/Hellstar-Thorn-T-Shirt-Green.jpg?fit=fill&bg=FFFFFF&w=576&h=384&q=41&dpr=3&trim=color&updated_at=1727292932,3,47651,61,1,,Hellstar,,2025-09-15 12:30:47,2025-09-15 12:30:47,https://culture-circle.com/products/all/hellstar-thorn-t-shirt-green
37573,STASETA3CB43,Stanley Quencher H2.0 Flowstate Tumbler Pink Mesa Sunset,stanley-quencher-h20-flowstate-tumbler-pink-mesa-sunset,Accessories,Tumbler,Stanley,accessories,unisex,,,,0,,False,True,False,https://hypefly.co.in/_next/image?url=https%3A%2F%2Fdjm0962033frr.cloudfront.net%2F1_16_4f6dc6aa61.webp&w=1920&q=75,3,47651,64,1,,,,2025-09-15 08:09:51,2025-09-15 08:09:51,https://culture-circle.com/products/all/stanley-quencher-h20-flowstate-tumbler-pink-mesa-sunset
37572,STAOLDC4E2C4,Stanley The Quencher ProTour Flip Straw Tumbler | 40 OZ Cream Rose Gold,stanley-the-quencher-protour-flip-straw-tumbler-40-oz-cream-rose-gold,Accessories,Tumbler,Stanley,accessories,female,,,,0,,False,True,False,https://hypefly.co.in/_next/image?url=https%3A%2F%2Fdjm0962033frr.cloudfront.net%2F15_0a62bb5dd3.webp&w=1920&q=75,3,47651,65,1,,"stanley, tumbler, wmns, for her, wmns, for her, her",,2025-09-15 08:06:28,2025-09-15 08:06:28,https://culture-circle.com/products/all/stanley-the-quencher-protour-flip-straw-tumbler-40-oz-cream-rose-gold
37571,STAAVEE6AB46,Stanley Flowstate Quencher 40oz Tumbler Agave,stanley-flowstate-quencher-40oz-tumbler-agave,Accessories,Tumbler,Stanley,accessories,unisex,,,,0,,False,True,False,https://images.stockx.com/images/Stanley-Flowstate-Quencher-40oz-Tumbler-Agave.jpg?fit=fill&bg=FFFFFF&w=576&h=384&q=60&dpr=1&trim=color&trimcolor=ffffff&updated_at=1753208937,3,47651,60,1,,"stanley, tumbler, wmns, for her, wmns, for her, her",,2025-09-15 07:58:57,2025-09-15 07:58:57,https://culture-circle.com/products/all/stanley-flowstate-quencher-40oz-tumbler-agave
37570,STAOSSC603EC,Stanley Flowstate Quencher 40oz Tumbler Cornflower Gloss,stanley-flowstate-quencher-40oz-tumbler-cornflower-gloss,Accessories,Tumbler,Stanley,accessories,unisex,,,,0,,False,True,False,https://images.stockx.com/images/Stanley-Flowstate-Quencher-40oz-Tumbler-Cornflower-Gloss.jpg?fit=fill&bg=FFFFFF&w=576&h=384&q=60&dpr=1&trim=color&trimcolor=ffffff&updated_at=1743614317,3,47651,66,1,,"stanley, tumbler, wmns, for her, wmns, for her, her",,2025-09-15 07:56:35,2025-09-15 07:56:35,https://culture-circle.com/products/all/stanley-flowstate-quencher-40oz-tumbler-cornflower-gloss
37569,STAHIOABD319,Stanley Flowstate Quencher 40oz Tumbler Pistachio,stanley-flowstate-quencher-40oz-tumbler-pistachio,Accessories,Tumbler,Stanley,accessories,unisex,,,,0,,False,True,False,https://images.stockx.com/images/Stanley-Flowstate-Quencher-40oz-Tumbler-Pistachio.jpg?fit=fill&bg=FFFFFF&w=576&h=384&q=60&dpr=1&trim=color&trimcolor=ffffff&updated_at=1753208942,3,47651,58,1,,"stanley, tumbler, wmns, for her, wmns, for her, her",,2025-09-15 07:54:11,2025-09-15 07:54:11,https://culture-circle.com/products/all/stanley-flowstate-quencher-40oz-tumbler-pistachio
37568,STAHEN9B591C,Stanley Flowstate Quencher 40oz Tumbler Lichen,stanley-flowstate-quencher-40oz-tumbler-lichen,Accessories,Tumbler,Stanley,accessories,unisex,,,,0,,False,True,False,https://images.stockx.com/images/Stanley-Flowstate-Quencher-40oz-Tumbler-Lichen.jpg?fit=fill&bg=FFFFFF&w=576&h=384&q=41&dpr=3&trim=color&trimcolor=ffffff&updated_at=1753208915,3,47651,64,1,,Stanley,,2025-09-15 07:51:38,2025-09-15 07:51:38,https://culture-circle.com/products/all/stanley-flowstate-quencher-40oz-tumbler-lichen
37567,FEAEVE93AB1C,Fear Of God Essentials 77 round neck black long sleeve,fear-of-god-essentials-77-round-neck-long-sleeve,Apparel,Sweatshirt,Fear Of God,clothing,male,,,,0,,False,True,False,https://cdn.culture-circle.com/media/cc_images_url_creator/new_2025/new_2025_25/new_2025_01/new_2025_08/new_2025_15/IMG-20250915-WA0131%5B1%5D.jpg,3,47651,68,1,,Fear of God,,2025-09-15 07:45:50,2025-09-15 07:46:50,https://culture-circle.com/products/all/fear-of-god-essentials-77-round-neck-long-sleeve
37566,BEA021A6096A,Bearbrick Marvel Avengers figure Vilans pair complete set 2021,bearbrick-marvel-avengers-figure-vilans-pair-complete-set-2021,Collectibles,Figures,Bearbrick,collectibles,unisex,,,,0,,False,True,False,https://i.ebayimg.com/images/g/0zAAAOSweS1g-sXs/s-l1600.webp,10,59841,64,1,,Bearbrick,,2025-09-12 09:13:26,2025-09-12 09:13:26,https://culture-circle.com/products/all/bearbrick-marvel-avengers-figure-vilans-pair-complete-set-2021
37565,BEA100476FB0,Bearbrick x Marvel X-Men Happy Lottery Beast & Archangel 2 Pack 100%,bearbrick-x-marvel-x-men-happy-lottery-beast-archangel-2-pack-100,Collectibles,Figurines,Bearbrick,collectibles,unisex,,,,0,,False,True,False,https://images.stockx.com/images/Bearbrick-x-Marvel-X-Men-Happy-Lottery-Beast-Archangel-2-Pack-100-2.jpg?fit=fill&bg=FFFFFF&w=576&h=384&q=60&dpr=1&trim=color&updated_at=1648608221,2,45501,67,1,,Bearbrick,,2025-09-12 09:03:01,2025-09-12 09:03:01,https://culture-circle.com/products/all/bearbrick-x-marvel-x-men-happy-lottery-beast-archangel-2-pack-100
